country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Thailand,Nakhon Luang,48.0,Good,0.0,Good,29.0,Good,0.0,Good,48.0,Good,,,,
Thailand,Nakhon Nayok,59.0,Moderate,1.0,Good,30.0,Good,1.0,Good,59.0,Moderate,Nakhon Nayok,Thailand,14.2069,101.2142
Thailand,Nakhon Pathom,35.0,Good,0.0,Good,24.0,Good,0.0,Good,35.0,Good,Nakhon Pathom,Thailand,13.8206,100.0625
Thailand,Nakhon Phanom,59.0,Moderate,0.0,Good,28.0,Good,0.0,Good,59.0,Moderate,Nakhon Phanom,Thailand,17.4069,104.7808
Thailand,Nakhon Ratchasima,36.0,Good,0.0,Good,25.0,Good,0.0,Good,36.0,Good,Nakhon Ratchasima,Thailand,14.975,102.1
Thailand,Nakhon Sawan,21.0,Good,0.0,Good,21.0,Good,0.0,Good,20.0,Good,Nakhon Sawan,Thailand,15.7133,100.1353
Thailand,Nakhon Si Thammarat,58.0,Moderate,1.0,Good,32.0,Good,0.0,Good,58.0,Moderate,Nakhon Si Thammarat,Thailand,8.4364,99.9631
Thailand,Nakhon Thai,69.0,Moderate,0.0,Good,23.0,Good,0.0,Good,69.0,Moderate,Nakhon Thai,Thailand,17.1011,100.8296
Poland,Naklo Nad Notecia,35.0,Good,0.0,Good,34.0,Good,0.0,Good,35.0,Good,Naklo nad Notecia,Poland,53.1403,17.5928
India,Nakodar,142.0,Unhealthy for Sensitive Groups,2.0,Good,142.0,Unhealthy for Sensitive Groups,1.0,Good,139.0,Unhealthy for Sensitive Groups,Nakodar,India,31.1275,75.4781
Zambia,Nakonde,19.0,Good,0.0,Good,16.0,Good,0.0,Good,19.0,Good,Nakonde,Zambia,-9.3272,32.7583
Denmark,Nakskov,34.0,Good,0.0,Good,34.0,Good,0.0,Good,33.0,Good,Nakskov,Denmark,54.8333,11.15
India,Nakur,164.0,Unhealthy,3.0,Good,164.0,Unhealthy,1.0,Good,150.0,Unhealthy,Nakur,India,29.9189,77.3044
Kenya,Nakuru,84.0,Moderate,2.0,Good,12.0,Good,1.0,Good,84.0,Moderate,Nakuru,Kenya,-0.3,36.0667
India,Nalagarh,127.0,Unhealthy for Sensitive Groups,2.0,Good,127.0,Unhealthy for Sensitive Groups,1.0,Good,124.0,Unhealthy for Sensitive Groups,,,,
India,Nalbari,108.0,Unhealthy for Sensitive Groups,2.0,Good,47.0,Good,1.0,Good,108.0,Unhealthy for Sensitive Groups,Nalbari,India,26.445,91.44
Russian Federation,Nalchik,43.0,Good,1.0,Good,43.0,Good,1.0,Good,42.0,Good,Nalchik,Russia,43.4833,43.6167
Bangladesh,Nalchiti,170.0,Unhealthy,2.0,Good,35.0,Good,3.0,Good,170.0,Unhealthy,Nalchiti,Bangladesh,22.635,90.27
India,Naldurg,91.0,Moderate,0.0,Good,25.0,Good,0.0,Good,91.0,Moderate,,,,
India,Nalgonda,142.0,Unhealthy for Sensitive Groups,1.0,Good,38.0,Good,0.0,Good,142.0,Unhealthy for Sensitive Groups,Nalgonda,India,17.05,79.27
India,Nalhati,197.0,Unhealthy,2.0,Good,99.0,Moderate,3.0,Good,197.0,Unhealthy,Nalhati,India,24.294,87.839
India,Naliya,146.0,Unhealthy for Sensitive Groups,0.0,Good,25.0,Good,0.0,Good,146.0,Unhealthy for Sensitive Groups,Naliya,India,23.2611,68.8267
Libya,Nalut,191.0,Unhealthy,1.0,Good,27.0,Good,0.0,Good,191.0,Unhealthy,Nalut,Libya,31.8685,10.9812
Viet Nam,Nam Dinh,154.0,Unhealthy,4.0,Good,154.0,Unhealthy,1.0,Good,145.0,Unhealthy for Sensitive Groups,Nam Dinh,Vietnam,20.42,106.1683
Thailand,Nam Phong,86.0,Moderate,2.0,Good,21.0,Good,4.0,Good,86.0,Moderate,,,,
Thailand,Nam Som,44.0,Good,0.0,Good,22.0,Good,0.0,Good,44.0,Good,Nam Som,Thailand,17.7694,102.1435
India,Namagiripettai,87.0,Moderate,1.0,Good,30.0,Good,2.0,Good,87.0,Moderate,Namagiripettai,India,11.47,78.27
India,Namakkal,54.0,Moderate,1.0,Good,28.0,Good,0.0,Good,54.0,Moderate,Namakkal,India,11.2167,78.1667
United Republic of Tanzania,Namalenga,68.0,Moderate,2.0,Good,18.0,Good,1.0,Good,68.0,Moderate,,,,
